Date,State,District,Disease,Cases,Deaths
2022-05-04,Kerala,Thiruvanantha Puram,Acute Diarrheal Disease,10,0
2022-05-04,Kerala,Thiruvanantha Puram,Brucellosis,1,0
2022-05-04,Maharashtra,Sindhudurg (Kudal),Malaria,5,0
2022-05-05,Jammu & Kashmir,Jammu,Chickenpox,8,0
2022-05-05,Odisha,Nabarangpur,Food Poisoning,18,0
2022-05-05,Rajasthan,Alwar,Measles,11,0
2022-05-05,Tamil Nadu,Pudukkottai,Food Poisoning,41,0
2022-05-05,Tamil Nadu,Pudukkottai,Food Poisoning,48,0
2022-05-05,West Bengal,South 24 Parganas,Food Poisoning,195,0
2022-05-06,Karnataka,Chikkamagalu Ru,Food Poisoning,51,0
2022-05-06,Kerala,Thiruvanantha Puram,Food Poisoning,4,0
2022-05-06,Maharashtra,Jalgaon,Dengue,9,1
2022-05-06,Tamil Nadu,Vellore,Acute Diarrheal Disease,15,0
2022-05-06,Uttar Pradesh,Fatehpur,Chickenpox,3,0
2022-05-06,West Bengal,Paschim Medinipur,Hepatitis/Jaundice,10,0
2022-05-07,Assam,Nagaon,Leptospirosis,2,0
2022-05-07,Chhatisgarh,Janjgir Champa,Acute Diarrheal Disease,57,0
2022-05-07,Jharkhand,Dhanbad,Measles,8,0
2022-05-07,Karnataka,Kalaburgai,Cholera,144,0
2022-05-07,Karnataka,Shivamogga,Acute Diarrheal Disease,85,0
2022-05-07,Madhya Pradesh,Mandsaur,Acute Diarrheal Disease,254,0
2022-05-07,Rajasthan,Dausa,Acute Diarrheal Disease,22,0
2022-05-07,Tamil Nadu,Vellore,Acute Diarrheal Disease,15,0
2022-05-08,Kerala,Kozhikode,Acute Diarrheal Disease,100,0
2022-05-08,Kerala,Wayanad,Food Poisoning,47,0
2022-05-08,West Bengal,Jalpaiguri,Dengue,272,0
2022-05-09,Arunachal Pradesh,West Siang,Food Poisoning,3,0
2022-05-09,Karnataka,Hassan,Acute Diarrheal Disease,20,0
2022-05-09,Kerala,Ernakulam,Acute Diarrheal Disease,65,0
2022-05-09,Kerala,Palakkad,Noro Virus,21,0
2022-05-09,Madhya Pradesh,Datia,Chickenpox,6,0
2022-05-09,Maharashtra,Nashik,Chikungunya,6,0
2022-05-09,Tamil Nadu,Tiruchirappalli,Food Poisoning,12,0
2022-05-10,Bihar,Supaul,Food Poisoning,23,0
2022-05-10,Gujarat,Surendranagar,Hepatitis/Jaundice,46,0
2022-05-10,Haryana,Palwal,Fever With Rash,7,0
2022-05-10,Kerala,Ernakulam,Dengue,47,1
2022-05-10,Kerala,Ernakulam,Dengue,20,0
2022-05-10,Odisha,Ganjam,Acute Diarrheal Disease,22,0
2022-05-10,Punjab,Jalandhar,Chickenpox,16,0
2022-05-10,Rajasthan,Dausa,Acute Diarrheal Disease,115,0
2022-05-11,Jharkhand,Dhumka,Chickenpox,28,0
2022-05-11,Punjab,S.A.S Nagar,Acute Diarrheal Disease,18,0
2022-05-11,Tamil Nadu,Thoothukudi,Hepatitis/Jaundice,5,0
2022-05-12,Kerala,Thrissur,Acute Diarrheal Disease,32,0
2022-05-12,Rajasthan,Bikaner,Acute Diarrheal Disease,27,0
2022-05-12,Uttar Pradesh,Ghazipur,Chickenpox,15,0
2022-05-12,Uttar Pradesh,Lucknow,Chickenpox,6,0
2022-05-12,West Bengal,South24 Parganas,Cholera,60,0
2022-05-13,Chhatisgarh,Gariyaband,Acute Diarrheal Disease,33,0
2022-05-13,Jammu And Kashmir,Anantnag,Chickenpox,10,0
2022-05-13,Jammu And Kashmir,Anantnag,Hepatitis/Jaundice,26,0
2022-05-13,Jammu And Kashmir,Badgam,Hepatitis/Jaundice,12,0
2022-05-13,Karnataka,Tumkur,Acute Diarrheal Disease,13,0
2022-05-13,Madhya Pradesh,Morena,Acute Diarrheal Disease,15,0
2022-05-14,Haryana,Panipat,Measles,3,0
2022-05-14,Uttar Pradesh,Ghazipur,Chickenpox,5,0
2022-05-15,Gujarat,Navsari,Acute Diarrheal Disease,47,0
2022-05-15,Tamil Nadu,Krishnagiri,Dengue,12,0
2022-05-16,Karnataka,Dakshina Kannada,Fever With Rash,32,0
2022-05-17,Karnataka,Udupi,Dengue,92,0
2022-05-17,Maharashtra,Pune,Dengue,7,0
2022-05-17,Uttar Pradesh,Ghazipur,Acute Diarrheal Disease,3,1
2022-05-20,Jharkhand,Ranchi,Acute Diarrheal Disease,21,0
2022-05-20,Maharashtra,Pune,Acute Diarrheal Disease,97,0
2022-05-20,Meghalaya,West Khasi Hills,Food Poisoning,8,0
2022-05-20,Tamil Nadu,Tenkasi,Dengue,19,0
2022-05-21,Jharkhand,Pakur,Measles,7,0
2022-05-21,Uttar Pradesh,Sant Ravi Das Nagar,Acute Diarrheal Disease,21,1
2022-05-22,Assam,Cachar,Chickenpox,5,0
2022-05-22,Jammu And Kashmir,Doda,Chickenpox,18,0
2022-05-22,Madhya Pradesh,Ratlam,Acute Diarrheal Disease,113,0
2022-05-22,Odisha,Koraput,Rubella,10,0
2022-05-22,West Bengal,Hooghly,Cholera,67,0
2022-05-23,Chhattisgarh,Janjgir Champa,Acute Diarrheal Disease,33,0
2022-05-23,Haryana,Nuh,Measles,18,0
2022-05-23,Jharkhand,Dumka,Chickenpox,18,0
2022-05-23,Kerala,Kannur,Food Poisoning,27,0
2022-05-23,Kerala,Palakkad,Acute Diarrheal Disease,29,0
2022-05-23,Maharashtra,Latur,Food Poisoning,376,0
2022-05-23,Odisha,Dhenkanal,Acute Diarrheal Disease,16,0
2022-05-23,Punjab,Faridkot,Chickenpox,6,0
2022-05-24,Gujarat,Surat,Food Poisoning,132,0
2022-05-24,Kerala,Kozhikode,Acute Diarrheal Disease,42,0
2022-05-24,Kerala,Thiruvanantha Puram,Acute Diarrheal Disease,16,0
2022-05-24,Madhya Pradesh,Jabalpur,Leptospirosis,1,1
2022-05-24,Madhya Pradesh,Neemuch,Chickenpox,4,0
2022-05-24,Odisha,Dhenkanal,Acute Diarrheal Disease,21,0
2022-05-24,Tamil Nadu,Tiruchirappalli,Food Poisoning,34,0
2022-05-24,Tamil Nadu,Trichirapalli,Food Poisoning,34,0
2022-05-25,Maharashtra,Chandrapur,Malaria,13,1
2022-05-25,Maharashtra,Latur,Food Poisoning,42,0
2022-05-25,Odisha,Keonjhar,Acute Diarrheal Disease,8,0
2022-05-25,Odisha,Sundargarh,Food Poisoning,24,0
2022-05-25,Puducherry,Karaikal,Cholera,26,0
2022-05-26,Jammu And Kashmir,Pulwama,Chickenpox,11,0
2022-05-26,Kerala,Thiruvanantha Puram,Acute Diarrheal Disease,11,0
2022-05-26,Nagaland,Longleng,Chickenpox,10,0
2022-05-26,Odisha,Jajpur,Acute Diarrheal Disease,16,0
2022-05-26,Puducherry,Karaikal,Acute Diarrheal Disease,113,0
2022-05-26,Uttarakhand,Almora,Fever With Rash,11,0
2022-05-27,Arunachal Pradesh,West Kameng,Acute Diarrheal Disease,37,0
2022-05-27,Jharkhand,West Singhbhum,Food Poisoning,15,0
2022-05-27,Kerala,Alappuzha,Acute Diarrheal Disease,9,0
2022-05-27,Tamil Nadu,Thiruvarur,Food Poisoning,67,0
2022-05-28,Arunachal Pradesh,Kamle,Scrub Typhus,2,0
2022-05-28,Jharkhand,West Singhbhum,Acute Diarrheal Disease,9,0
2022-05-28,Kerala,Thiruvanantha Puram,Acute Diarrheal Disease,47,0
2022-05-28,Tamil Nadu,Thiruvarur,Food Poisoning,67,0
2022-05-29,Karnataka,Raichur,Acute Diarrheal Disease,321,3
2022-05-29,Maharashtra,Gadchiroli,Malaria,196,0
2022-05-29,Maharashtra,Gadchiroli,Malaria,114,1
