origin_district,origin_state,origin_lat,origin_lon,dest_district,dest_state,dest_lat,dest_lon
Karur,Tamil Nadu,10.831786305026723,78.11836937868742,Namakkal,Tamil Nadu,11.305296147359348,78.12248315163508
Karur,Tamil Nadu,10.831786305026723,78.11836937868742,Tiruchchirappalli,Tamil Nadu,10.876685258615895,78.55491393792526
Madurai,Tamil Nadu,9.909971375903904,77.98956527869419,Sivaganga,Tamil Nadu,9.907016772518048,78.57595932715225
Madurai,Tamil Nadu,9.909971375903904,77.98956527869419,Theni,Tamil Nadu,9.880751439386067,77.42393232021155
Madurai,Tamil Nadu,9.909971375903904,77.98956527869419,Tiruchchirappalli,Tamil Nadu,10.876685258615895,78.55491393792526
Madurai,Tamil Nadu,9.909971375903904,77.98956527869419,Virudhunagar,Tamil Nadu,9.480564065318337,77.89435615866469
Nagapattinam,Tamil Nadu,10.863691093005418,79.73608696338323,Thanjavur,Tamil Nadu,10.65524982779382,79.2235906361112
Namakkal,Tamil Nadu,11.305296147359348,78.12248315163508,Salem,Tamil Nadu,11.663093379088567,78.20916073899492
Namakkal,Tamil Nadu,11.305296147359348,78.12248315163508,Tiruchchirappalli,Tamil Nadu,10.876685258615895,78.55491393792526
Perambalur,Tamil Nadu,11.260483260477063,78.87775870110774,Villupuram,Tamil Nadu,11.960325100139361,79.28446742363931
Pudukkottai,Tamil Nadu,10.342065199575572,78.86659365075867,Ramanathapuram,Tamil Nadu,9.442918449418997,78.68033988575274
Pudukkottai,Tamil Nadu,10.342065199575572,78.86659365075867,Sivaganga,Tamil Nadu,9.907016772518048,78.57595932715225
Pudukkottai,Tamil Nadu,10.342065199575572,78.86659365075867,Tiruchchirappalli,Tamil Nadu,10.876685258615895,78.55491393792526
Ramanathapuram,Tamil Nadu,9.442918449418997,78.68033988575274,Sivaganga,Tamil Nadu,9.907016772518048,78.57595932715225
Ramanathapuram,Tamil Nadu,9.442918449418997,78.68033988575274,Virudhunagar,Tamil Nadu,9.480564065318337,77.89435615866469
Salem,Tamil Nadu,11.663093379088567,78.20916073899492,Tiruchchirappalli,Tamil Nadu,10.876685258615895,78.55491393792526
Salem,Tamil Nadu,11.663093379088567,78.20916073899492,Villupuram,Tamil Nadu,11.960325100139361,79.28446742363931
Sivaganga,Tamil Nadu,9.907016772518048,78.57595932715225,Tiruchchirappalli,Tamil Nadu,10.876685258615895,78.55491393792526
